Continent,Year,Population Density 
Europe,2010,93.61
Asia,2010,330.97
Africa,2010,23.56
South America,2010,3.71
Europe,2010,23.03
Europe,2010,209.25
Asia,2010,112.18
Asia,2010,658.18
Asia,2010,66.69
Africa,2010,65.29
Asia,2010,139.3
Asia,2010,87.4
Africa,2010,148.68
Oceania,2010,152.25
Oceania,2010,140.9
North America,2010,295.94
Africa,2010,74.33
Asia,2010,107.38
Asia,2010,12.81
North America,2010,46.7
Oceania,2010,425.73
Africa,2010,183.83
Europe,2010,72.76
Asia,2010,111.09
Europe,2010,276.08
North America,2010,35.84
North America,2010,289.46
South America,2010,18.94
Asia,2010,74.94
Oceania,2010,25.57
Europe,2010,520
South America,2010,31.09
Asia,2010,291.8
Oceania,2010,82.08
Africa,2010,2.09
Asia,2010,61.15
Africa,2010,25.15
Africa,2010,40.1
Asia,2015,51.75
Europe,2015,100.27
Africa,2015,16.6
Oceania,2015,258.13
Europe,2015,153.3
Africa,2015,22.56
North America,2015,159.62
North America,2015,203.49
South America,2015,15.56
Asia,2015,96.78
North America,2015,579.21
Oceania,2015,3.1
Europe,2015,103.04
Asia,2015,113.9
North America,2015,28.16
Asia,2015,1780.58
Asia,2015,1069.53
North America,2015,646.7
Europe,2015,46.73
Europe,2015,368.46
North America,2015,15.67
Africa,2015,97.08
North America,2015,1169.33
Asia,2015,19.36
South America,2015,10.09
Europe,2015,68.82
Africa,2015,3.96
South America,2015,24.1
North America,2015,194.48
Asia,2015,73.1
Europe,2015,65.92
Africa,2015,68.57
Africa,2015,385.4
Asia,2015,85.16
Africa,2015,48.4
North America,2015,3.58
Africa,2015,136.91
North America,2015,230.72
Africa,2015,7.74
Africa,2015,11.01
South America,2015,23.63
Asia,2015,143.58
South America,2015,41.27
Africa,2015,392.17
Oceania,2015,74.98
North America,2015,95.8
Europe,2015,75.18
North America,2015,103.2
North America,2015,381.92
Europe,2015,128.34
Europe,2015,133.44
Europe,2015,131.75
Africa,2015,43.37
North America,2015,93.22
North America,2015,213.8
Africa,2015,33.54
South America,2015,58.5
Africa,2015,97.48
North America,2015,296.14
Africa,2015,48.02
Africa,2015,28.4
Europe,2015,29.07
Africa,2015,65.3
Africa,2015,92.79
South America,2015,0.28
Europe,2015,35.04
Oceania,2015,50.2
Europe,2015,16.19
Europe,2015,115.66
South America,2015,3.08
Oceania,2015,70.02
Africa,2015,7.58
Africa,2015,210.79
Asia,2015,54.11
Europe,2015,229.82
Africa,2015,121.04
Europe,2015,5420
Europe,2015,81.87
North America,2015,0.03
North America,2015,345.87
