Country,Continent,Year,Population,Area,Population Density 
Egypt,Africa,2000,71371371.00 ,1002450.00 ,71.20 
El Salvador,North America,2000,5958482.00 ,21041.00 ,283.18 
Equatorial Guinea,Africa,2000,684977.00 ,28051.00 ,24.42 
Eritrea,Africa,2000,2392880.00 ,117600.00 ,20.35 
Estonia,Europe,2000,1396877.00 ,45227.00 ,30.89 
Eswatini,Africa,2000,1030496.00 ,17364.00 ,59.35 
Ethiopia,Africa,2000,67031867.00 ,1104300.00 ,60.70 
Falkland Islands,South America,2000,3080.00 ,12173.00 ,0.25 
Faroe Islands,Europe,2000,45660.00 ,1393.00 ,32.78 
Fiji,Oceania,2000,832509.00 ,18272.00 ,45.56 
Finland,Europe,2000,5176209.00 ,338424.00 ,15.30 
France,Europe,2000,58665453.00 ,551695.00 ,106.34 
French Guiana,South America,2000,164351.00 ,83534.00 ,1.97 
French Polynesia,Oceania,2000,250927.00 ,4167.00 ,60.22 
Gabon,Africa,2000,1272935.00 ,267668.00 ,4.76 
Gambia,Africa,2000,1437539.00 ,10689.00 ,134.49 
Georgia,Asia,2000,4265172.00 ,69700.00 ,61.19 
Germany,Europe,2000,81551677.00 ,357114.00 ,228.36 
Ghana,Africa,2000,19665502.00 ,238533.00 ,82.44 
Gibraltar,Europe,2000,27741.00 ,6.00 ,4623.50 
Greece,Europe,2000,11038109.00 ,131990.00 ,83.63 
Greenland,North America,2000,56184.00 ,2166086.00 ,0.03 
Grenada,North America,2000,107432.00 ,344.00 ,312.30 
Guadeloupe,North America,2000,424067.00 ,1628.00 ,260.48 
Guam,Oceania,2000,160188.00 ,549.00 ,291.78 
Guatemala,North America,2000,11735894.00 ,108889.00 ,107.78 
Guernsey,Europe,2000,59114.00 ,78.00 ,757.87 
Guinea,Africa,2000,8336967.00 ,245857.00 ,33.91 
Guinea-Bissau,Africa,2000,1230849.00 ,36125.00 ,34.07 
Guyana,South America,2000,759051.00 ,214969.00 ,3.53 
Haiti,North America,2000,8360225.00 ,27750.00 ,301.27 
Honduras,North America,2000,6656725.00 ,112492.00 ,59.18 
Hong Kong,Asia,2000,6731195.00 ,1104.00 ,6097.10 
Hungary,Europe,2000,10202055.00 ,93028.00 ,109.67 
Iceland,Europe,2000,281462.00 ,103000.00 ,2.73 
India,Asia,2000,1059633675.00 ,3287590.00 ,322.31 
Indonesia,Asia,2000,214072421.00 ,1904569.00 ,112.40 
Iran,Asia,2000,65544383.00 ,1648195.00 ,39.77 
Iraq,Asia,2000,24628858.00 ,438317.00 ,56.19 
Ireland,Europe,2000,3768950.00 ,70273.00 ,53.63 
Isle of Man,Europe,2000,75562.00 ,572.00 ,132.10 
Israel,Asia,2000,6116958.00 ,20770.00 ,294.51 
Italy,Europe,2000,56966397.00 ,301336.00 ,189.05 
Ivory Coast,Africa,2000,16799670.00 ,322463.00 ,52.10 
Jamaica,North America,2000,2612205.00 ,10991.00 ,237.67 
Japan,Asia,2000,126803861.00 ,377930.00 ,335.52 
Jersey,Europe,2000,86192.00 ,116.00 ,743.03 
Jordan,Asia,2000,5056174.00 ,89342.00 ,56.59 
Kazakhstan,Asia,2000,15236253.00 ,2724900.00 ,5.59 
Kenya,Africa,2000,30851606.00 ,580367.00 ,53.16 
Kiribati,Oceania,2000,88826.00 ,811.00 ,109.53 
Kuwait,Asia,2000,1934901.00 ,17818.00 ,108.59 
Kyrgyzstan,Asia,2000,4935182.00 ,199951.00 ,24.68 
Laos,Asia,2000,5430853.00 ,236800.00 ,22.93 
Latvia,Europe,2000,2392530.00 ,64559.00 ,37.06 
Lebanon,Asia,2000,4320642.00 ,10452.00 ,413.38 
Lesotho,Africa,2000,1998630.00 ,30355.00 ,65.84 
Liberia,Africa,2000,2895224.00 ,111369.00 ,26.00 
Libya,Africa,2000,5154790.00 ,1759540.00 ,2.93 
Liechtenstein,Europe,2000,33026.00 ,160.00 ,206.41 
Lithuania,Europe,2000,3599637.00 ,65300.00 ,55.12 
Luxembourg,Europe,2000,435628.00 ,2586.00 ,168.46 
Macau,Asia,2000,431896.00 ,30.00 ,14396.53 
Madagascar,Africa,2000,16216431.00 ,587041.00 ,27.62 
Malawi,Africa,2000,11229387.00 ,118484.00 ,94.78 
Malaysia,Asia,2000,22945150.00 ,330803.00 ,69.36 
Maldives,Asia,2000,282507.00 ,300.00 ,941.69 
Mali,Africa,2000,11239101.00 ,1240192.00 ,9.06 
Malta,Europe,2000,399212.00 ,316.00 ,1263.33 
Marshall Islands,Oceania,2000,54224.00 ,181.00 ,299.58 
Martinique,North America,2000,432543.00 ,1128.00 ,383.46 
Mauritania,Africa,2000,2695003.00 ,1030700.00 ,2.61 
Mauritius,Africa,2000,1215930.00 ,2040.00 ,596.04 
Mayotte,Africa,2000,159215.00 ,374.00 ,425.71 
Mexico,North America,2000,97873442.00 ,1964375.00 ,49.82 
Micronesia,Oceania,2000,111709.00 ,702.00 ,159.13 
Moldova,Europe,2000,4251573.00 ,33846.00 ,125.62 
Monaco,Europe,2000,32465.00 ,2.00 ,16232.50 
Mongolia,Asia,2000,2450979.00 ,1564110.00 ,1.57 
Montenegro,Europe,2000,633324.00 ,13812.00 ,45.85 
Montserrat,North America,2000,5138.00 ,102.00 ,50.37 
Morocco,Africa,2000,28554415.00 ,446550.00 ,63.94 
Mozambique,Africa,2000,17768505.00 ,801590.00 ,22.17 
Myanmar,Asia,2000,45538332.00 ,676578.00 ,67.31 
Namibia,Africa,2000,1819141.00 ,825615.00 ,2.20 
Nauru,Oceania,2000,10377.00 ,21.00 ,494.14 
Nepal,Asia,2000,24559500.00 ,147181.00 ,166.87 
Netherlands,Europe,2000,15899135.00 ,41850.00 ,379.91 
New Caledonia,Oceania,2000,221537.00 ,18575.00 ,11.93 
New Zealand,Oceania,2000,3855266.00 ,270467.00 ,14.25 
Nicaragua,North America,2000,5123222.00 ,130373.00 ,39.30 
Niger,Africa,2000,11622665.00 ,1267000.00 ,9.17 
Nigeria,Africa,2000,122851984.00 ,923768.00 ,132.99 
Niue,Oceania,2000,2074.00 ,260.00 ,7.98 
North Korea,Asia,2000,23367059.00 ,120538.00 ,193.86 
North Macedonia,Europe,2000,2037936.00 ,25713.00 ,79.26 
Northern Mariana Islands,Oceania,2000,80338.00 ,464.00 ,173.14 
Norway,Europe,2000,4491202.00 ,323802.00 ,13.87 
Oman,Asia,2000,2344253.00 ,309500.00 ,7.57 
Pakistan,Asia,2000,154369924.00 ,881912.00 ,175.04 
Palau,Oceania,2000,19726.00 ,459.00 ,42.98 
Palestine,Asia,2000,3139954.00 ,6220.00 ,504.82 
Panama,North America,2000,3001731.00 ,75417.00 ,39.80 
Papua New Guinea,Oceania,2000,5508297.00 ,462840.00 ,11.90 
Paraguay,South America,2000,5123819.00 ,406752.00 ,12.60 
Peru,South America,2000,26654439.00 ,1285216.00 ,20.74 
Philippines,Asia,2000,77958223.00 ,342353.00 ,227.71 
Poland,Europe,2000,38504431.00 ,312679.00 ,123.14 
Portugal,Europe,2000,10300626.00 ,92090.00 ,111.85 
Puerto Rico,North America,2000,3827108.00 ,8870.00 ,431.47 
Qatar,Asia,2000,645937.00 ,11586.00 ,55.75 
Republic of the Congo,Africa,2000,3134030.00 ,342000.00 ,9.16 
Reunion,Africa,2000,785424.00 ,2511.00 ,312.79 
Romania,Europe,2000,21919876.00 ,238391.00 ,91.95 
Russia,Europe,2000,146844839.00 ,17098242.00 ,8.59 
Rwanda,Africa,2000,8109989.00 ,26338.00 ,307.92 
Saint Barthelemy,North America,2000,7082.00 ,21.00 ,337.24 
Saint Kitts and Nevis,North America,2000,45461.00 ,261.00 ,174.18 
Saint Lucia,North America,2000,159500.00 ,616.00 ,258.93 
Saint Martin,North America,2000,29610.00 ,53.00 ,558.68 
Saint Pierre and Miquelon,North America,2000,6274.00 ,242.00 ,25.93 
Saint Vincent and the Grenadines,North America,2000,113813.00 ,389.00 ,292.58 
Samoa,Oceania,2000,184008.00 ,2842.00 ,64.75 
San Marino,Europe,2000,26823.00 ,61.00 ,439.72 
Sao Tome and Principe,Africa,2000,143714.00 ,964.00 ,149.08 
Saudi Arabia,Asia,2000,21547390.00 ,2149690.00 ,10.02 
Senegal,Africa,2000,9704287.00 ,196722.00 ,49.33 
Serbia,Europe,2000,7935022.00 ,88361.00 ,89.80 
Seychelles,Africa,2000,80060.00 ,452.00 ,177.12 
Sierra Leone,Africa,2000,4584067.00 ,71740.00 ,63.90 
Singapore,Asia,2000,4053602.00 ,710.00 ,5709.30 
Sint Maarten,North America,2000,30489.00 ,34.00 ,896.74 
Slovakia,Europe,2000,5376690.00 ,49037.00 ,109.65 
Slovenia,Europe,2000,1984339.00 ,20273.00 ,97.88 
Solomon Islands,Oceania,2000,429978.00 ,28896.00 ,14.88 
Somalia,Africa,2000,8721465.00 ,637657.00 ,13.68 
South Africa,Africa,2000,46813266.00 ,1221037.00 ,38.34 
South Korea,Asia,2000,46788591.00 ,100210.00 ,466.91 
South Sudan,Africa,2000,6114440.00 ,619745.00 ,9.87 
Spain,Europe,2000,40741651.00 ,505992.00 ,80.52 
Sri Lanka,Asia,2000,18776371.00 ,65610.00 ,286.18 
Sudan,Africa,2000,26298773.00 ,1886068.00 ,13.94 
Suriname,South America,2000,478998.00 ,163820.00 ,2.92 
Sweden,Europe,2000,8871043.00 ,450295.00 ,19.70 
Switzerland,Europe,2000,7182059.00 ,41284.00 ,173.97 
Syria,Asia,2000,16307654.00 ,185180.00 ,88.06 
Taiwan,Asia,2000,22194731.00 ,36193.00 ,613.23 
Tajikistan,Asia,2000,6272998.00 ,143100.00 ,43.84 
Tanzania,Africa,2000,34463704.00 ,945087.00 ,36.47 
