Country,Year,Population Density
Tajikistan,2015,59.57
Tanzania,2015,55.6
Thailand,2015,136.99
Timor-Leste,2015,81.07
Togo,2015,131.61
Tokelau,2015,121.17
Tonga,2015,142.06
Trinidad and Tobago,2015,284.63
Tunisia,2015,70.64
Turkey,2015,101.65
Turkmenistan,2015,11.81
Turks and Caicos Islands,2015,38.54
Tuvalu,2015,418.35
Uganda,2015,155.15
Ukraine,2015,74.54
United Arab Emirates,2015,106.66
United Kingdom,2015,268.52
United States,2015,34.63
United States Virgin Islands,2015,296.26
Uruguay,2015,18.8
Uzbekistan,2015,69.18
Vanuatu,2015,22.68
Vatican City,2015,564
Venezuela,2015,33.31
Vietnam,2015,278.35
Wallis and Futuna,2015,85.79
Western Sahara,2015,1.85
Yemen,2015,54.01
Zambia,2015,21.59
Zimbabwe,2015,36.22
Afghanistan,2020,59.75
Albania,2020,99.72
Algeria,2020,18.24
American Samoa,2020,232.11
Andorra,2020,166.03
Angola,2020,26.81
Anguilla,2020,171.26
Antigua and Barbuda,2020,209.65
Argentina,2020,16.2
Armenia,2020,94.33
Aruba,2020,592.14
Australia,2020,3.34
Austria,2020,106.21
Azerbaijan,2020,118.76
Bahamas,2020,29.15
Bahrain,2020,1931.33
Bangladesh,2020,1134.52
Barbados,2020,652.77
Belarus,2020,46.41
Belgium,2020,378.73
Belize,2020,17.2
Benin,2020,112.26
Bermuda,2020,1185.76
Bhutan,2020,20.12
Bolivia,2020,10.87
Bosnia and Herzegovina,2020,64.8
Botswana,2020,4.38
Brazil,2020,25.04
British Virgin Islands,2020,204.7
Brunei,2020,76.62
Bulgaria,2020,62.94
Burkina Faso,2020,78.85
Burundi,2020,439.04
Cambodia,2020,90.57
Cameroon,2020,55.72
Canada,2020,3.79
Cape Verde,2020,144.47
Cayman Islands,2020,254.97
Central African Republic,2020,8.58
Chad,2020,12.96
Chile,2020,25.53
China,2020,146.79
Colombia,2020,44.61
Comoros,2020,432.96
Cook Islands,2020,72.16
Costa Rica,2020,100.26
Croatia,2020,72.39
Cuba,2020,102.84
Curacao,2020,426.32
Cyprus,2020,133.77
Czech Republic,2020,133.53
Denmark,2020,135.18
Djibouti,2020,46.99
Dominica,2020,95.87
Dominican Republic,2020,226
DR Congo,2020,39.6
Ecuador,2020,63.53
Egypt,2020,107.2
El Salvador,2020,299.07
Equatorial Guinea,2020,56.9
Eritrea,2020,30.24
Estonia,2020,29.39
Eswatini,2020,67.99
Ethiopia,2020,106.12
Falkland Islands,2020,0.31
Faroe Islands,2020,37.63
Fiji,2020,50.37
Finland,2020,16.34
France,2020,116.88
French Guiana,2020,3.48
French Polynesia,2020,72.46
Gabon,2020,8.56
Gambia,2020,240.81
Georgia,2020,54.03
Germany,2020,233.34
Ghana,2020,134.91
Gibraltar,2020,5451.5
Greece,2020,79.64
Greenland,2020,0.03
Grenada,2020,359.49
Guadeloupe,2020,243.02
Guam,2020,308.25
Guatemala,2020,159.45
Guernsey,2020,805.05
Guinea,2020,53.71
Guinea-Bissau,2020,55.8
Guyana,2020,3.71
Haiti,2020,407.45
Honduras,2020,89.98
Hong Kong,2020,6794.35
Hungary,2020,104.81
Iceland,2020,3.56
India,2020,424.74
Indonesia,2020,142.74
Iran,2020,52.96
Iraq,2020,97.09
Ireland,2020,70.38
Isle of Man,2020,146.93
Israel,2020,421.64
Italy,2020,197.46
Ivory Coast,2020,83.15
Jamaica,2020,256.61
Japan,2020,331.4
Jersey,2020,933.78
Jordan,2020,122.32
Kazakhstan,2020,6.97
Kenya,2020,89.57
Kiribati,2020,155.93
Kuwait,2020,244.72
Kyrgyzstan,2020,32.13
Laos,2020,30.91
Latvia,2020,29.38
Lebanon,2020,541.8
Lesotho,2020,74.26
Liberia,2020,45.68
Libya,2020,3.78
Liechtenstein,2020,242.23
Lithuania,2020,43.19
Luxembourg,2020,243.77
Macau,2020,22542.77
Madagascar,2020,48.08
Malawi,2020,163.54
Malaysia,2020,100.36
Maldives,2020,1714.79
Mali,2020,17.11
Malta,2020,1630.88
Marshall Islands,2020,239.85
Martinique,2020,328.36
Mauritania,2020,4.36
Mauritius,2020,636.19
Mayotte,2020,817.08
Mexico,2020,64.14
Micronesia,2020,159.7
Moldova,2020,91.14
Monaco,2020,18461
Mongolia,2020,2.11
Montenegro,2020,45.54
Montserrat,2020,44.12
Morocco,2020,82.16
Mozambique,2020,38.9
Myanmar,2020,78.96
Namibia,2020,3.01
Nauru,2020,586.43
Nepal,2020,199.4
Netherlands,2020,416.6
New Caledonia,2020,15.42
New Zealand,2020,18.71
Nicaragua,2020,51.82
Niger,2020,19.21
Nigeria,2020,225.52
Niue,2020,7.47
North Korea,2020,214.6
North Macedonia,2020,82.1
Northern Mariana Islands,2020,106.87
Norway,2020,16.61
Oman,2020,14.68
Pakistan,2020,257.62
Palau,2020,39.15
Palestine,2020,806.98
Panama,2020,56.94
Papua New Guinea,2020,21.06
Paraguay,2020,16.27
Peru,2020,25.91
Philippines,2020,327.71
Poland,2020,122.9
Portugal,2020,111.83
Puerto Rico,2020,368.83
Qatar,2020,238.25
Republic of the Congo,2020,16.67
Reunion,2020,381.45
Romania,2020,81.56
Russia,2020,8.52
Rwanda,2020,499.14
Saint Barthelemy,2020,508.62
Saint Kitts and Nevis,2020,182.54
Saint Lucia,2020,290.97
Saint Martin,2020,614.19
Saint Pierre and Miquelon,2020,24.4
Saint Vincent and the Grenadines,2020,268.98
Samoa,2020,75.63
San Marino,2020,557.49
Sao Tome and Principe,2020,226.81
Saudi Arabia,2020,16.75
Senegal,2020,83.55
Serbia,2020,83.27
Seychelles,2020,233.47
Sierra Leone,2020,114.78
Singapore,2020,8323.76
Sint Maarten,2020,1282.97
Slovakia,2020,111.28
Slovenia,2020,104.46
Solomon Islands,2020,23.92
Somalia,2020,25.93
South Africa,2020,48.16
South Korea,2020,517.36
South Sudan,2020,17.11
Spain,2020,93.61
Sri Lanka,2020,330.97
Sudan,2020,23.56
Suriname,2020,3.71
Sweden,2020,23.03
Switzerland,2020,209.25
Syria,2020,112.18
Taiwan,2020,658.18
Tajikistan,2020,66.69
Tanzania,2020,65.29
Thailand,2020,139.3
Timor-Leste,2020,87.4
Togo,2020,148.68
Tokelau,2020,152.25
Tonga,2020,140.9
Trinidad and Tobago,2020,295.94
Tunisia,2020,74.33
Turkey,2020,107.38
Turkmenistan,2020,12.81
Turks and Caicos Islands,2020,46.7
Tuvalu,2020,425.73
Uganda,2020,183.83
Ukraine,2020,72.76
United Arab Emirates,2020,111.09
United Kingdom,2020,276.08
United States,2020,35.84
United States Virgin Islands,2020,289.46
Uruguay,2020,18.94
Uzbekistan,2020,74.94
Vanuatu,2020,25.57
Vatican City,2020,520
Venezuela,2020,31.09
Vietnam,2020,291.8
Wallis and Futuna,2020,82.08
Western Sahara,2020,2.09
Yemen,2020,61.15
Zambia,2020,25.15
Zimbabwe,2020,40.1
Afghanistan,2022,63.06
Albania,2022,98.87
Algeria,2022,18.85
American Samoa,2022,222.48
Andorra,2022,170.56
Angola,2022,28.55
Anguilla,2022,174.25
Antigua and Barbuda,2022,212.13
Argentina,2022,16.37
Armenia,2022,93.48
Aruba,2022,591.36
Australia,2022,3.4
Austria,2022,106.59
Azerbaijan,2022,119.61
Bahamas,2022,29.4
Bahrain,2022,1924.49
Bangladesh,2022,1160.04
Barbados,2022,654.97
Belarus,2022,45.93
Belgium,2022,381.81
Belize,2022,17.65
Benin,2022,118.56
Bermuda,2022,1188.59
Bhutan,2022,20.38
Bolivia,2022,11.13
Bosnia and Herzegovina,2022,63.14
Botswana,2022,4.52
Brazil,2022,25.28
British Virgin Islands,2022,207.32
Brunei,2022,77.88
Bulgaria,2022,61.17
Burkina Faso,2022,83.06
Burundi,2022,463.09
Cambodia,2022,92.62
Cameroon,2022,58.71
Canada,2022,3.85
Cape Verde,2022,147.07
Cayman Islands,2022,260.25
Central African Republic,2022,8.96
Chad,2022,13.8
Chile,2022,25.93
China,2022,146.89
Colombia,2022,45.43
Comoros,2022,449.4
Cook Islands,2022,72.08
Costa Rica,2022,101.39
Croatia,2022,71.22
Cuba,2022,102.04
Curacao,2022,430.55
Cyprus,2022,135.28
Czech Republic,2022,133.06
Denmark,2022,136.5
Djibouti,2022,48.31
Dominica,2022,96.85
Dominican Republic,2022,230.71
DR Congo,2022,42.22
Ecuador,2022,65.02
Egypt,2022,110.72
El Salvador,2022,301.15
Equatorial Guinea,2022,59.71
Eritrea,2022,31.33
Estonia,2022,29.32
Eswatini,2022,69.2
Ethiopia,2022,111.73
Falkland Islands,2022,0.31
Faroe Islands,2022,38.11
Fiji,2022,50.88
Finland,2022,16.37
France,2022,117.14
French Guiana,2022,3.65
French Polynesia,2022,73.5
Gabon,2022,8.93
Gambia,2022,253.16
Georgia,2022,53.72
Germany,2022,233.45
Ghana,2022,140.34
Gibraltar,2022,5441.5
Greece,2022,78.68
Greenland,2022,0.03
Grenada,2022,364.65
Guadeloupe,2022,243.09
Guam,2022,312.89
Guatemala,2022,163.87
Guernsey,2022,811.55
Guinea,2022,56.37
Guinea-Bissau,2022,58.29
Guyana,2022,3.76
Haiti,2022,417.48
Honduras,2022,92.74
Hong Kong,2022,6783.39
Hungary,2022,107.14
Iceland,2022,3.62
India,2022,431.07
Indonesia,2022,144.65
Iran,2022,53.73
Iraq,2022,101.52
Ireland,2022,71.48
Isle of Man,2022,147.76
Israel,2022,435.16
Italy,2022,195.92
Ivory Coast,2022,87.33
Jamaica,2022,257.24
Japan,2022,327.98
Jersey,2022,954.98
Jordan,2022,126.32
Kazakhstan,2022,7.12
Kenya,2022,93.09
Kiribati,2022,161.82
Kuwait,2022,239.58
Kyrgyzstan,2022,33.16
Laos,2022,31.8
Latvia,2022,28.67
Lebanon,2022,525.23
Lesotho,2022,75.96
Liberia,2022,47.61
Libya,2022,3.87
Liechtenstein,2022,245.79
Lithuania,2022,42.11
Luxembourg,2022,250.42
Macau,2022,23172.27
Madagascar,2022,50.44
Malawi,2022,172.22
Malaysia,2022,102.59
Maldives,2022,1745.96
Mali,2022,18.22
Malta,2022,1687.61
Marshall Islands,2022,229.66
Martinique,2022,325.8
Mauritania,2022,4.6
Mauritius,2022,636.99
Mayotte,2022,871.93
Mexico,2022,64.91
Micronesia,2022,162.63
Moldova,2022,96.7
Monaco,2022,18234.5
Mongolia,2022,2.17
Montenegro,2022,45.4
Montserrat,2022,43.04
Morocco,2022,83.88
